type,id,geometry.type,geometry.coordinates,properties.xid,properties.name,properties.dist,properties.rate,properties.osm,properties.kinds,properties.wikidata
Feature,7382676,Point,"[1.2264752, 45.1129303]",W385910188,,764.2244834,0,way/385910188,"cemeteries,historic,burial_places,interesting_places",
Feature,11633588,Point,"[1.228677, 45.1166534]",N5661522736,Ancienne commanderie,1149.54410605,7,node/5661522736,"architecture,historic_architecture,fortifications,historic,interesting_places,manor_houses,castles",Q1980181
Feature,11197784,Point,"[1.2285235, 45.1170959]",W493141678,Église Notre-Dame et Saint-Jean-Baptiste,1199.00183424,7,way/493141678,"religion,churches,interesting_places,catholic_churches",Q3580784
Feature,2091704,Point,"[1.2289627, 45.1174431]",N8911092217,,1236.89218136,0,node/8911092217,"historic,burial_places,interesting_places,war_memorials",
Feature,2091766,Point,"[1.237003, 45.1162872]",N4850590069,,1269.95236478,0,node/4850590069,"other,unclassified_objects,interesting_places,historic_object",
Feature,11310502,Point,"[1.2230246, 45.0929222]",N4850774343,Château de la Fleunie,1563.91937822,3,node/4850774343,"fortifications,historic,interesting_places,castles",Q2971238
Feature,8083600,Point,"[1.2224585, 45.0927582]",W493144722,,1595.16458777,0,way/493144722,"architecture,historic_architecture,fortifications,historic,interesting_places,manor_houses,castles",
Feature,2091767,Point,"[1.2335935, 45.1210442]",N8946658157,,1674.43163016,0,node/8946658157,"other,unclassified_objects,interesting_places,historic_object",
Feature,2091705,Point,"[1.2254372, 45.1212883]",N4112196758,,1689.30117651,0,node/4112196758,"view_points,other,interesting_places",
Feature,11703876,Point,"[1.2137544, 45.0950356]",W966779129,Château de la Petite Filolie,1741.73634591,3,way/966779129,"architecture,historic_architecture,fortifications,historic,interesting_places,manor_houses,castles",Q2971339
Feature,11680070,Point,"[1.2133735, 45.0952797]",N4852140912,La Filolie,1743.42738248,3,node/4852140912,"fortifications,historic,interesting_places,castles",Q2971339
Feature,2089356,Point,"[1.2121354, 45.0890846]",N333770037,,2335.35379253,0,node/333770037,"view_points,other,interesting_places",
Feature,2091708,Point,"[1.2284275, 45.129425]",N8857087270,,2568.96312391,0,node/8857087270,"historic,monuments_and_memorials,interesting_places,monuments",
Feature,2091697,Point,"[1.1996082, 45.0940437]",W492672105,Pigeonnier,2693.61786384,1,way/492672105,"other,unclassified_objects,interesting_places,historic_object",
Feature,11263982,Point,"[1.1989008, 45.094635]",W492672102,Château de Sauvebœuf,2709.50268261,7,way/492672102,"fortifications,historic,interesting_places,castles",Q2283624
Feature,11263981,Point,"[1.198174, 45.0949173]",N1995203842,Château de Sauvebœuf,2745.26206411,7,node/1995203842,"fortifications,historic,interesting_places,castles",Q2283624
Feature,7165889,Point,"[1.1977623, 45.094326]",W496411361,,2804.77387562,0,way/496411361,"fountains,cultural,urban_environment,interesting_places",
Feature,2091696,Point,"[1.2197914, 45.1313591]",W137537101,,2878.39431879,0,way/137537101,"cemeteries,historic,burial_places,interesting_places",
Feature,2091701,Point,"[1.1925719, 45.1122932]",W493146643,,2951.95912889,0,way/493146643,"cemeteries,historic,burial_places,interesting_places",
Feature,2091723,Point,"[1.2230576, 45.1335793]",W137537107,,3067.40533476,0,way/137537107,"cemeteries,historic,burial_places,interesting_places",
Feature,16189770,Point,"[1.22312, 45.1338158]",Q38654022,église Saint-Laurent de Bersac,3092.58547656,2,,"religion,churches,interesting_places,other_churches",Q38654022
Feature,2091724,Point,"[1.2231224, 45.1338348]",W487777192,Église de Barsac,3094.69302313,1,way/487777192,"religion,other_temples,interesting_places",
Feature,9798642,Point,"[1.2460718, 45.1318245]",N8842447901,,3133.16802982,0,node/8842447901,"other,unclassified_objects,interesting_places,historic_object",
Feature,2091722,Point,"[1.228761, 45.1359825]",W409294345,,3297.03277027,0,way/409294345,"fortifications,historic,interesting_places,castles",
Feature,2091728,Point,"[1.229122, 45.1368523]",N1508658418,Château de Peyraux,3393.76671878,6,node/1508658418,"fortifications,historic,interesting_places,castles",Q22919788
Feature,2091727,Point,"[1.2213553, 45.1365318]",N8849961183,,3413.17349185,0,node/8849961183,"other,unclassified_objects,interesting_places,historic_object",
